"Titre","Chaîne / Troupe","Type","Nature","Catégorie","Thème","Durée","Notes","URL vidéo","Langue","Statut","Créé le","Approuvé le"
"35e anniversaire de la Ligue Nationale d'Improvisation du Québec","DGQParis","documentaire",,,"Histoire de la LNI",,"Reportage anniversaire — invention québécoise du match d'impro","https://www.youtube.com/watch?v=aaF0w9VVL7g","fr","approved","2026-05-20T12:26:16.867802+00:00",
"C'est quoi ""improviser"" ? — L'IMPRO DE 1 à Z","Improtéine","tutoriel",,,"Fondamentaux",,"Épisode introductif de la série pédagogique d'Improtéine","https://www.youtube.com/watch?v=kXggGOp8axs","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Les punitions, partie II — L'IMPRO DE 1 à Z","Improtéine","tutoriel",,,"Règles du match",,"Décrypte les punitions de match (cabotinage, rudesse, etc.)","https://www.youtube.com/watch?v=5Ql5Xs_VIp0","fr","approved","2026-05-20T12:26:16.867802+00:00",
"L'importance du personnage — L'IMPRO DE 1 à Z","Improtéine","tutoriel",,,"Construction du personnage",,"Pédagogie sur l'ancrage et la construction du personnage en impro","https://www.youtube.com/watch?v=PBQpYKrj3ds","fr","approved","2026-05-20T12:26:16.867802+00:00",
"L'importance de l'histoire — L'IMPRO DE 1 à Z","Improtéine","tutoriel",,,"Narration",,"Pédagogie sur la structure narrative et la dramaturgie en impro","https://www.youtube.com/watch?v=1Q-gCC7K-U8","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Keith Johnstone on the origin of Theatresports (Part 13 of 20)","Canada's Theatre Museum","documentaire",,,"Theatresports",,"Entretien avec le créateur du Theatresports — comment le format est né en Alberta","https://www.youtube.com/watch?v=hkCuGGMVr4s","en","approved","2026-05-20T12:26:16.867802+00:00",
"Middleditch & Schwartz — Official Trailer (Netflix)","Netflix","spectacle",,,"Duo longform",,"Bande-annonce du premier special d'impro longform sur Netflix — un duo, une suggestion, 50 min d'histoire","https://www.youtube.com/watch?v=2Vao8d50hzw","en","approved","2026-05-20T12:26:16.867802+00:00",
"Whose Line UK — Ryan Stiles & Greg Proops as Batman and Robin (S04E05)","Comedy Hits","format_court",,"a_la_maniere_de","Film & Theater Styles",,"Format court ""à la manière de"" — un grand classique du format Whose Line","https://www.youtube.com/watch?v=xpnNfKeauwM","en","approved","2026-05-20T12:26:16.867802+00:00",
"""Il chante Johnny Hallyday en Hongrois !"" IMPRO : Fausse Conférence Traduite","Impro.Comedy","format_court",,,"Fausse conférence traduite",,"Short Impro.Comedy — format Fausse Conférence Traduite","https://www.youtube.com/shorts/sRXWvzkpbJM","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Il s'est tapé ma meuf !"" IMPRO : Fausse conférence","Impro.Comedy","format_court",,,"Fausse conférence",,"Short Impro.Comedy — format Fausse Conférence","https://www.youtube.com/shorts/THR73DxMuN8","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Il est en train d'immoler le tribunal !"" IMPRO","Impro.Comedy","format_court",,,"Tribunal",,"Short Impro.Comedy — format Tribunal","https://www.youtube.com/shorts/2rURRbcf3dI","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Impro Tribunal : Il doit défendre un enfant pyromane !","Impro.Comedy","format_court",,,"Tribunal",,"Short Impro.Comedy — format Tribunal, plaidoirie improvisée","https://www.youtube.com/shorts/Xloo2TJnJuA","fr","approved","2026-05-20T12:26:16.867802+00:00",
"IMPRO : Ils font le procès d'un enfant du public ! P1 — Impro Comedy Live de Noël","Impro.Comedy","format_court",,,"Tribunal",,"Short Impro.Comedy — extrait du Live de Noël, format Tribunal","https://www.youtube.com/shorts/u_YwaMCfkn0","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Interdit de prononcer le C ! IMPRO : Lettre Interdite","Impro.Comedy","format_court",,,"Lettre interdite",,"Short Impro.Comedy — format Lettre Interdite (C)","https://www.youtube.com/shorts/Fd1PpNAzLnM","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Vous êtes complétement débile ?!"" IMPRO : Un Mot à la fois !","Impro.Comedy","format_court",,,"Un mot à la fois",,"Short Impro.Comedy — format Un mot à la fois","https://www.youtube.com/shorts/wNKRpLpJPKY","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Je vous assigne en Justice !"" IMPRO : Un Mot à la fois !","Impro.Comedy","format_court",,,"Un mot à la fois",,"Short Impro.Comedy — format Un mot à la fois","https://www.youtube.com/shorts/zoWqY_LCkNQ","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Un mec bourré intervient en spectacle ! IMPRO","Impro.Comedy","format_court",,,"Interaction public",,"Short Impro.Comedy — gestion d'un spectateur turbulent en live","https://www.youtube.com/shorts/DRSzFS2Pnug","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""J'ai sorti une flûte de mon sourcil !"" IMPRO : FREEZE !","Impro.Comedy","format_court",,,"Freeze",,"Short Impro.Comedy — format Freeze (changement de position)","https://www.youtube.com/shorts/xFGAmFyKMKM","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Il m'avait juré qu'il était décédé !"" IMPRO : Telenovela","Impro.Comedy","format_court",,"a_la_maniere_de","Telenovela",,"Short Impro.Comedy — à la manière de la telenovela","https://www.youtube.com/shorts/Ta-D7-cN1Vg","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Il dégaine des apôtres !"" IMPRO : Le public termine !","Impro.Comedy","format_court",,,"Le public termine",,"Short Impro.Comedy — le public termine la phrase","https://www.youtube.com/shorts/7CQIh8CAPBI","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""De l'eau dans ton vin ?"" IMPRO : ABC","Impro.Comedy","format_court",,,"ABC",,"Short Impro.Comedy — format ABC (répliques par ordre alphabétique)","https://www.youtube.com/shorts/XrlAYQj2Tsg","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Un moment privilégié !"" IMPRO : LETTRE INTERDITE","Impro.Comedy","format_court",,,"Lettre interdite",,"Short Impro.Comedy — format Lettre Interdite","https://www.youtube.com/shorts/dz7fO2braOI","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Mon père est sorti de la photocopieuse !"" IMPRO : CHANGE !","Impro.Comedy","format_court",,,"Change",,"Short Impro.Comedy — format Change (l'arbitre relance la phrase)","https://www.youtube.com/shorts/pFJEl1DNv8s","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Une tornade sur Charleville Mézières ! IMPRO : Genres !","Impro.Comedy","format_court",,,"Genres",,"Short Impro.Comedy — format Genres (changement de registre)","https://www.youtube.com/shorts/Pc6iVv-5Rzg","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""VOUS TRICHEZ ?!"" IMPRO : Un Mot à la Fois. [Bonus]","Impro.Comedy","format_court",,,"Un mot à la fois",,"Short Impro.Comedy — bonus du format Un mot à la fois","https://www.youtube.com/shorts/KyK_nd9kaXQ","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""On va vous traquer."" IMPRO : Un Mot à la fois !","Impro.Comedy","format_court",,,"Un mot à la fois",,"Short Impro.Comedy — format Un mot à la fois","https://www.youtube.com/shorts/-Gb4s9Tvhoo","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Les violets sont immangeables"" IMPRO : Un mot à la fois !","Impro.Comedy","format_court",,,"Un mot à la fois",,"Short Impro.Comedy — format Un mot à la fois","https://www.youtube.com/shorts/3KLskkxMfzw","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""On avait dit qu'on pimentait notre couple !"" IMPRO : FREEZE !","Impro.Comedy","format_court",,,"Freeze",,"Short Impro.Comedy — format Freeze","https://www.youtube.com/shorts/hSKmIFIdJKk","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""J'adore être riche !"" IMPRO : 3 MOTS !","Impro.Comedy","format_court",,,"3 mots",,"Short Impro.Comedy — format 3 mots (chaque réplique de 3 mots)","https://www.youtube.com/shorts/12e83mjxpBM","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Quelqu'un a triché ! IMPRO : Lettre L Interdite !","Impro.Comedy","format_court",,,"Lettre interdite",,"Short Impro.Comedy — format Lettre Interdite (L)","https://www.youtube.com/shorts/bDpaup9EjYA","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Elles me font des frotti frotta !"" IMPRO : Fausse Conférence","Impro.Comedy","format_court",,,"Fausse conférence",,"Short Impro.Comedy — format Fausse Conférence","https://www.youtube.com/shorts/wpPqziqXbzQ","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Vous avez une très grosse cravate..."" IMPRO : Émotions","Impro.Comedy","format_court",,,"Émotions",,"Short Impro.Comedy — format Émotions (changement d'émotion sur signal)","https://www.youtube.com/shorts/IakVSb2L6XE","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Espèce de petit enfoiré!"" IMPRO : Émotions","Impro.Comedy","format_court",,,"Émotions",,"Short Impro.Comedy — format Émotions","https://www.youtube.com/shorts/BvLq7bLPdGE","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""J'ai composé une chanson pour le vestiaire des filles"" IMPRO","Impro.Comedy","format_court",,,"Chantée",,"Short Impro.Comedy — chanson improvisée","https://www.youtube.com/shorts/u47Z_LSv5Ic","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Mi enfant, Mi Taupe !"" IMPRO : Lettre Interdite","Impro.Comedy","format_court",,,"Lettre interdite",,"Short Impro.Comedy — format Lettre Interdite","https://www.youtube.com/shorts/pEunPOgdspo","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Ils ont installé des fenêtres ?!"" IMPRO ABC","Impro.Comedy","format_court",,,"ABC",,"Short Impro.Comedy — format ABC","https://www.youtube.com/shorts/4pqQkQpsVxk","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""On m'appelle l'Ovni."" IMPRO PAROLES !","Impro.Comedy","format_court",,,"Paroles",,"Short Impro.Comedy — format Paroles (citation imposée)","https://www.youtube.com/shorts/IOBLh8jsmX8","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Il invoque un démon breton ! (IMPRO : TWIST !)","Impro.Comedy","format_court",,,"Twist",,"Short Impro.Comedy — format Twist (retournement narratif)","https://www.youtube.com/shorts/xa35iCPRIXM","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Halte là ! — Impro.Comedy","Impro.Comedy","format_court",,,,,"Short Impro.Comedy — extrait de spectacle","https://www.youtube.com/shorts/irIUrWVXkQU","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Je t'assure que ça va être bon !"" — Impro.Comedy","Impro.Comedy","format_court",,,,,"Short Impro.Comedy — extrait de spectacle","https://www.youtube.com/shorts/n9iQEXFcrB4","fr","approved","2026-05-20T12:26:16.867802+00:00",
"""Très très très drôle !"" — Impro.Comedy","Impro.Comedy","format_court",,,,,"Short Impro.Comedy — extrait de spectacle","https://www.youtube.com/shorts/UAKhEskHicg","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LiFi — Spectacle « Cétoiki » (contes interactifs)","LiFi","spectacle",,,"Contes / reine des contes",,"Spectacle LiFi où le public choisit le déroulement de l'histoire","https://www.youtube.com/watch?v=KcNv5mZhsEc","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LiFi — Match d'impro des apprentis (fin d'année)","LiFi","match_impro",,,,,"Match de fin d'année des apprentis de la LiFi","https://www.youtube.com/watch?v=6swjoCvMRlI","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LiFi — Ça se passe comment un match d'impro ?","LiFi","tutoriel",,,,,"Vidéo explicative sur le déroulement d'un match d'impro","https://www.youtube.com/watch?v=hmsDFFz0Pms","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LiFi — Une rencontre improvisée avec la LiFi (documentaire)","LiFi","documentaire",,,,,"Film de Géraldine Dehayes sur les coulisses des ateliers et matchs LiFi","https://www.youtube.com/watch?v=4jk6phm_NvM","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LiFi — Impro comparée « Tour de magie » (Faites entrer l'accusé)","LiFi","match_impro","comparee",,"Tour de magie","3 minutes","Catégorie LiFi — impro comparée à la manière de « Faites entrer l'accusé »","https://www.youtube.com/watch?v=g-Ha61Pkoh0","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LiFi — Impro mixte « Le temps du séchage »","LiFi","match_impro","mixte",,"Le temps du séchage","5 minutes","Catégorie LiFi — impro mixte","https://www.youtube.com/watch?v=3XhyB_BAIyU","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LiFi — Impro comparée « Galerie »","LiFi","match_impro","comparee",,"Galerie","2 minutes","Catégorie LiFi — impro comparée","https://www.youtube.com/watch?v=sbZMK48rAlI","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LiFi — Teaser : la LiFi présente un match d'impro","LiFi","match_impro",,,,,"Teaser de présentation des matchs LiFi","https://www.youtube.com/watch?v=ESUNm-90w2Q","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LiFi — Teaser LiFi Impro Junior (ateliers ados)","LiFi","documentaire",,,,,"Présentation des stages et ateliers LiFi Impro Junior pour les adolescents","https://www.youtube.com/watch?v=ycarunN5QS4","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Teaser le Béret de la Tortue","Les Improtagonistes","spectacle",,,,,"Teaser du spectacle « Le Béret de la Tortue » — Collectif Théâtral de Courbevoie / Improtagonistes","https://www.youtube.com/watch?v=Nq6s1b-HiuI","fr","approved","2026-05-20T12:26:16.867802+00:00",
"IMPROTAGONISTES vs TRAITS D'UNION le 26/01/17","Les Improtagonistes","match_impro",,,,,"Match d'impro Improtagonistes contre Traits d'Union — saison 2017/2018","https://www.youtube.com/watch?v=BgEu6N_mnVM","fr","approved","2026-05-20T12:26:16.867802+00:00",
"IMPROTAGONISTES vs LISM !","Les Improtagonistes","match_impro",,,,,"Match d'impro Improtagonistes contre LISM (Seine-et-Marne)","https://www.youtube.com/watch?v=Ums90y21Afw","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Match d'impro : IMPROTAGONISTES vs FREE ROUGES !","Les Improtagonistes","match_impro",,,,,"Match d'impro caritatif au profit de l'association AIDES","https://www.youtube.com/watch?v=NDjMnBheMUU","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Les IMPROTAGONISTES invitent les NON-SENS !","Les Improtagonistes","match_impro",,,,,"Match d'impro Improtagonistes vs Non-Sens — Centre d'Animation Les Halles","https://www.youtube.com/watch?v=k-4OvN8YUcY","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Les Improtagonistes présentent : ""LES PASSAGERS - SPÉCIAL GUESTS""","Les Improtagonistes","spectacle",,,,,"Concept « Les Passagers » avec joueurs invités — Improtagonistes","https://www.youtube.com/watch?v=4RfWc4jE5TM","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Match d'impro ""Les Improtagonistes vs Les Traits d'Union""","Les Improtagonistes","match_impro",,,,,"Match d'impro Improtagonistes vs Traits d'Union — Les Halles","https://www.youtube.com/watch?v=Up-BJs_xlm4","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Match d'impro ""Improtagonistes vs Drôles de Cailles""","Les Improtagonistes","match_impro",,,,,"Match d'impro Improtagonistes vs Drôles de Cailles","https://www.youtube.com/watch?v=Uf2_RoovfGk","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LES IMPROTAGONISTES présentent : MATCH D'IMPRO ""FEMMES vs HOMMES""","Les Improtagonistes","match_impro",,,,,"Match d'impro thématique « Femmes vs Hommes » — Improtagonistes","https://www.youtube.com/watch?v=FgLTVO2IYC4","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LES IMPROTAGONISTES présentent : ""Impro Bingo"" le retour !","Les Improtagonistes","spectacle",,,,,"Concept « Impro Bingo » à l'Apérock Café — Improtagonistes","https://www.youtube.com/watch?v=nMsTuOXqyZw","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Les IMPROTAGONISTES présentent : ""Les passagers"" (teaser 01)","Les Improtagonistes","spectacle",,,,,"Teaser du concept « Les Passagers » — Improtagonistes","https://www.youtube.com/watch?v=roobE-O5pdU","fr","approved","2026-05-20T12:26:16.867802+00:00",
"LES IMPROTAGONISTES vs LES MALADES DE L'IMAGINAIRE","Les Improtagonistes","match_impro",,,,,"Revanche entre Improtagonistes et Les Malades de l'Imaginaire","https://www.youtube.com/watch?v=2xjUq78nBeY","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Les Improtagonistes présentent ""Les Jeunots vs Les Anciens""","Les Improtagonistes","match_impro",,,,,"Match anniversaire des Improtagonistes : Jeunots vs Anciens","https://www.youtube.com/watch?v=pSze1Ht5zio","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Les Improtagonistes présentent ""Le Défi des Résidents""","Les Improtagonistes","spectacle",,,,,"Spectacle au Patronage Laïque Jules Vallès — 3 troupes d'impro","https://www.youtube.com/watch?v=HLrMNLr5Wvo","fr","approved","2026-05-20T12:26:16.867802+00:00",
"MATCH D'IMPRO : IMPROTAGONISTES VS ARBITRES !","Les Improtagonistes","match_impro",,,,,"Match d'impro inversé : les arbitres jouent contre les Improtagonistes","https://www.youtube.com/watch?v=UnLU369liDY","fr","approved","2026-05-20T12:26:16.867802+00:00",
"IMPRO BINGO le 12/10/14","Les Improtagonistes","spectacle",,,,,"Soirée « Impro Bingo » à l'Apérock Café — Improtagonistes","https://www.youtube.com/watch?v=MNryzwBV6S8","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Les Improtagonistes : Saison parisienne 2014 / 2015","Les Improtagonistes","documentaire",,,,,"Clip de présentation de la saison parisienne 2014/2015","https://www.youtube.com/watch?v=Xasy5TqjmXk","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Match Improtagonistes vs LIFI : ""La télécommande"" (extrait)","Les Improtagonistes","match_impro",,"chantee","La télécommande",,"Extrait — impro à la manière d'une comédie musicale, Improtagonistes vs LiFi","https://www.youtube.com/watch?v=PgRkJM8ETRk","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Clip Improtagonistes 2014/2015","Les Improtagonistes","documentaire",,,,,"Clip estival des Improtagonistes — saison 2014/2015","https://www.youtube.com/watch?v=8fRZ2bTTEdk","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[Teaser spectacle] La fin justifie les moyens","Improvidence","spectacle",,,,,"Teaser — spectacle improvisé Improvidence","https://www.youtube.com/watch?v=sdx_YlPxgEw","fr","approved","2026-05-20T12:26:16.867802+00:00",
"Confort Zone Expérience immersive en huis clos","Improvidence","spectacle",,,,,"Spectacle immersif en huis clos — Improvidence","https://www.youtube.com/watch?v=w2X-W1QXFAU","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[teaser spectacle] Témoins","Improvidence","spectacle",,,"Mariage",,"Teaser — Mathilde et Thomas, témoins de mariage, comédie improvisée Improvidence","https://www.youtube.com/watch?v=kbfzB0QQGlY","fr","approved","2026-05-20T12:26:16.867802+00:00",
"[Teaser spectacle] De Jour en Jour","Improvidence","spectacle",,,,,"Teaser — spectacle sur l'évolution d'une relation au fil des décennies","https://www.youtube.com/watch?v=mOannzhCW7U","fr","approved","2026-05-20T12:26:16.867802+00:00",
